date,coin_name,coin_symbol,price_usd,market_cap_usd
2025-03-02,Bitcoin,btc,90900.0,1800584476586
2025-03-02,Ethereum,eth,2288.67,275589205866
2025-03-02,XRP,xrp,2.58,149160494259
2025-03-02,Tether,usdt,0.999978,142715319725
2025-03-02,BNB,bnb,601.83,87758477373
2025-03-02,Solana,sol,149.88,76148108145
2025-03-02,USDC,usdc,0.999909,57199311872
2025-03-02,Cardano,ada,0.950133,34108607565
2025-03-02,Dogecoin,doge,0.209137,30981312705
2025-03-02,Lido Staked Ether,steth,2289.4,21506811562
2025-03-02,TRON,trx,0.246302,21182177081
2025-03-02,Pi Network,pi,1.93,13607092857
2025-03-02,Wrapped Bitcoin,wbtc,90693.0,11692544683
2025-03-02,Chainlink,link,17.2,10958294062
2025-03-02,Hedera,hbar,0.247029,10349583860
2025-03-02,Wrapped stETH,wsteth,2743.04,9626855479
2025-03-02,Stellar,xlm,0.303911,9303030522
2025-03-02,LEO Token,leo,9.92,9163568596
2025-03-02,Avalanche,avax,21.83,9038280613
2025-03-02,Sui,sui,2.68,8471871264
2025-03-02,USDS,usds,1.002,8213066998
2025-03-02,Litecoin,ltc,108.13,8168016080
2025-03-02,Shiba Inu,shib,1.352e-05,7963387265
2025-03-02,Bitcoin Cash,bch,395.07,7825208582
2025-03-02,Toncoin,ton,3.06,7571398018
2025-03-02,Polkadot,dot,4.55,6923788120
2025-03-02,MANTRA,om,6.93,6758757684
2025-03-02,WETH,weth,2288.78,6683831945
2025-03-02,Hyperliquid,hype,16.94,5660925688
2025-03-02,Bitget Token,bgb,4.65,5578951268
2025-03-02,Ethena USDe,usde,0.999267,5439717848
2025-03-02,Wrapped eETH,weeth,2430.37,4642397003
2025-03-02,Uniswap,uni,7.48,4490415128
2025-03-02,WhiteBIT Coin,wbt,30.2,4349894872
2025-03-02,Monero,xmr,231.03,4260791676
2025-03-02,NEAR Protocol,near,3.12,3706724623
2025-03-02,Ondo,ondo,1.17,3684802947
2025-03-02,Aptos,apt,6.17,3637110250
2025-03-02,Aave,aave,227.37,3430054680
2025-03-02,Dai,dai,0.999997,3267311080
2025-03-02,sUSDS,susds,1.042,3241187449
2025-03-02,Ethereum Classic,etc,20.59,3108096647
2025-03-02,Internet Computer,icp,6.38,3067080060
2025-03-02,Pepe,pepe,7.16e-06,3010123384
2025-03-02,Official Trump,trump,13.61,2720963207
2025-03-02,Gate,gt,21.79,2677657505
2025-03-02,OKB,okb,44.03,2640172869
2025-03-02,Coinbase Wrapped BTC,cbbtc,90866.0,2603874836
2025-03-02,VeChain,vet,0.02921022,2508859902
2025-03-02,Mantle,mnt,0.738543,2481723766
2025-03-02,Bittensor,tao,295.07,2479694176
2025-03-02,Tokenize Xchange,tkx,30.57,2443754724
2025-03-02,Cronos,cro,0.089329,2440804286
2025-03-02,POL (ex-MATIC),pol,0.257261,2207762242
2025-03-02,Algorand,algo,0.252624,2136571490
2025-03-02,Render,render,4.02,2079852427
